<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURRUB,D,20200724,000000,82.5840000,83.6368000,82.4680000,83.3910000,249451
EURRUB,D,20200726,000000,83.5330000,83.7250000,83.2810000,83.5710000,75
EURRUB,D,20200727,000000,83.6900000,84.4646000,83.4240000,84.2070000,236936
EURRUB,D,20200728,000000,84.2210000,85.2010000,83.7250000,84.8400000,254591
EURRUB,D,20200729,000000,84.8480000,85.8596000,84.7135000,85.4190000,258023
EURRUB,D,20200730,000000,85.4558000,87.3010000,85.2672000,87.0840000,314667
EURRUB,D,20200731,000000,87.2020000,88.0259000,86.8060000,87.4410000,272700
EURRUB,D,20200802,000000,87.4320000,87.4390000,86.9320000,87.2730000,77
EURRUB,D,20200803,000000,86.9890000,87.6839000,85.7570000,85.8650000,252827
EURRUB,D,20200804,000000,85.8641000,87.2562000,85.7452000,86.6380000,274976
EURRUB,D,20200805,000000,86.6648000,86.8240000,86.2144000,86.4950000,245735
EURRUB,D,20200806,000000,86.4700000,87.8590000,86.1880000,86.9536000,248116
EURRUB,D,20200807,000000,86.9130000,87.3538000,86.4150000,86.9100000,284551
EURRUB,D,20200809,000000,86.8910000,87.4490000,86.4560000,86.5090000,64
EURRUB,D,20200810,000000,86.5050000,87.1122000,85.8860000,86.1670000,284632
EURRUB,D,20200811,000000,86.3200000,86.4000000,85.5100000,85.6748000,375539
EURRUB,D,20200812,000000,85.6697000,87.0560000,85.5840000,86.8290000,343977
EURRUB,D,20200813,000000,86.8270000,87.2330000,85.9360000,86.1990000,336388
EURRUB,D,20200814,000000,86.1560000,86.8020000,85.9206000,86.2820000,285539
EURRUB,D,20200816,000000,86.2780000,86.5940000,86.0987000,86.4800000,78
EURRUB,D,20200817,000000,86.4850000,87.5393000,86.1804000,87.3566000,231723
EURRUB,D,20200818,000000,87.3559000,87.6460000,86.7389000,87.1430000,250719
EURRUB,D,20200819,000000,87.1860000,87.8022000,86.3150000,86.6640000,228725
EURRUB,D,20200820,000000,86.7070000,87.8549000,86.5855000,87.6920000,259305
EURRUB,D,20200821,000000,87.7100000,88.2826000,87.3496000,88.1970000,253582
EURRUB,D,20200823,000000,88.2610000,88.2610000,87.7322000,88.0754000,4125
EURRUB,D,20200824,000000,88.0778000,88.4390000,87.6180000,87.7170000,283422
EURRUB,D,20200825,000000,87.7570000,89.4173000,87.7200000,89.0368000,320743
EURRUB,D,20200826,000000,89.0375000,89.7887000,88.8202000,89.2480000,325437
EURRUB,D,20200827,000000,89.5070000,89.5140000,88.1960000,88.6540000,257849
EURRUB,D,20200828,000000,88.6510000,89.1520000,87.8900000,88.0890000,343065
EURRUB,D,20200830,000000,88.1600000,88.8730000,88.0169000,88.1965000,573
EURRUB,D,20200831,000000,88.1972000,89.0241000,87.5336000,88.1650000,246635
EURRUB,D,20200901,000000,87.8950000,88.6510000,87.4400000,87.6040000,257136
