<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD000TOM,D,20200715,000000,1.1407400,1.1451400,1.1399300,1.1412000,37787000
EURUSD000TOM,D,20200716,000000,1.1397600,1.1440200,1.1371000,1.1383600,40133000
EURUSD000TOM,D,20200717,000000,1.1384000,1.1443000,1.1384000,1.1438000,36103000
EURUSD000TOM,D,20200720,000000,1.1451000,1.1466000,1.1402100,1.1445400,40664000
EURUSD000TOM,D,20200721,000000,1.1441600,1.1539000,1.1426000,1.1524000,63637000
EURUSD000TOM,D,20200722,000000,1.1532200,1.1600000,1.1507600,1.1569600,64020000
EURUSD000TOM,D,20200723,000000,1.1596000,1.1624800,1.1541500,1.1591300,60517000
EURUSD000TOM,D,20200724,000000,1.1607300,1.1655500,1.1581800,1.1652000,53466000
EURUSD000TOM,D,20200727,000000,1.1705100,1.1780000,1.1682600,1.1748800,39900000
EURUSD000TOM,D,20200728,000000,1.1728800,1.1741600,1.1699500,1.1713600,33795000
EURUSD000TOM,D,20200729,000000,1.1751500,1.1804000,1.1718800,1.1797500,43719000
EURUSD000TOM,D,20200730,000000,1.1758200,1.1846400,1.1732000,1.1846200,64195000
EURUSD000TOM,D,20200731,000000,1.1900000,1.1902900,1.1765800,1.1774000,91221000
EURUSD000TOM,D,20200803,000000,1.1751100,1.1784400,1.1699000,1.1767200,42445000
EURUSD000TOM,D,20200804,000000,1.1779600,1.1802000,1.1723400,1.1799500,34630000
EURUSD000TOM,D,20200805,000000,1.1820000,1.1904000,1.1806800,1.1864600,42853000
EURUSD000TOM,D,20200806,000000,1.1878600,1.1891000,1.1819000,1.1876000,50986000
EURUSD000TOM,D,20200807,000000,1.1834000,1.1848200,1.1755400,1.1786400,42249000
EURUSD000TOM,D,20200810,000000,1.1770000,1.1790000,1.1738200,1.1742600,41748000
EURUSD000TOM,D,20200811,000000,1.1736000,1.1803400,1.1728900,1.1733100,41576000
EURUSD000TOM,D,20200812,000000,1.1726400,1.1813100,1.1726000,1.1800000,39687000
EURUSD000TOM,D,20200813,000000,1.1825000,1.1862000,1.1795000,1.1811500,40739000
EURUSD000TOM,D,20200814,000000,1.1808600,1.1848400,1.1785600,1.1840000,36488000
EURUSD000TOM,D,20200817,000000,1.1864400,1.1880300,1.1829600,1.1875000,18095000
EURUSD000TOM,D,20200818,000000,1.1884800,1.1963800,1.1884800,1.1935200,50340000
EURUSD000TOM,D,20200819,000000,1.1932800,1.1950000,1.1832600,1.1838000,52253000
EURUSD000TOM,D,20200820,000000,1.1840000,1.1865200,1.1805000,1.1861000,39628000
EURUSD000TOM,D,20200821,000000,1.1867400,1.1873000,1.1754700,1.1794200,47590000
EURUSD000TOM,D,20200824,000000,1.1808000,1.1849000,1.1784800,1.1787000,26625000
EURUSD000TOM,D,20200825,000000,1.1803000,1.1842600,1.1788000,1.1835400,46593000
EURUSD000TOM,D,20200826,000000,1.1809000,1.1838000,1.1775000,1.1831000,37237000
EURUSD000TOM,D,20200827,000000,1.1826900,1.1900000,1.1765000,1.1822800,61780000
EURUSD000TOM,D,20200828,000000,1.1868000,1.1919400,1.1868000,1.1904000,49127000
EURUSD000TOM,D,20200831,000000,1.1904000,1.1965000,1.1885800,1.1935600,47546000
EURUSD000TOM,D,20200901,000000,1.1977700,1.2008000,1.1902300,1.1913800,40707000
EURUSD000TOM,D,20200902,000000,1.1906200,1.1906200,1.1822200,1.1853200,37019000
EURUSD000TOM,D,20200903,000000,1.1800000,1.1862000,1.1789600,1.1851800,34530000
EURUSD000TOM,D,20200904,000000,1.1837000,1.1861900,1.1780300,1.1834600,50684000
EURUSD000TOM,D,20200907,000000,1.1830000,1.1847400,1.1814000,1.1814000,28972000
EURUSD000TOM,D,20200908,000000,1.1818000,1.1820000,1.1765100,1.1776000,32958000
EURUSD000TOM,D,20200909,000000,1.1767300,1.1832600,1.1754600,1.1803000,22291000
EURUSD000TOM,D,20200910,000000,1.1824400,1.1915400,1.1810000,1.1816400,69320000
EURUSD000TOM,D,20200911,000000,1.1833200,1.1872800,1.1827000,1.1845000,35478000
EURUSD000TOM,D,20200914,000000,1.1845000,1.1887200,1.1843600,1.1861600,15022000
EURUSD000TOM,D,20200915,000000,1.1892000,1.1900000,1.1840000,1.1845600,45963000
EURUSD000TOM,D,20200916,000000,1.1850000,1.1880000,1.1790000,1.1812000,51775000
EURUSD000TOM,D,20200917,000000,1.1773400,1.1850800,1.1770800,1.1847800,28766000
EURUSD000TOM,D,20200918,000000,1.1865600,1.1868500,1.1770000,1.1844600,28817000
EURUSD000TOM,D,20200921,000000,1.1863200,1.1866000,1.1732400,1.1770800,45948000
EURUSD000TOM,D,20200922,000000,1.1748000,1.1765000,1.1694400,1.1713500,54552000
EURUSD000TOM,D,20200923,000000,1.1689800,1.1717200,1.1652200,1.1656600,34945000
EURUSD000TOM,D,20200924,000000,1.1650800,1.1685200,1.1628800,1.1673200,21837000
EURUSD000TOM,D,20200925,000000,1.1673400,1.1683400,1.1613000,1.1629600,26252000
EURUSD000TOM,D,20200928,000000,1.1626100,1.1680200,1.1624000,1.1664400,17991000
EURUSD000TOM,D,20200929,000000,1.1678600,1.1744200,1.1667000,1.1743000,36751000
EURUSD000TOM,D,20200930,000000,1.1735400,1.1750000,1.1685400,1.1726000,30524000
EURUSD000TOM,D,20201001,000000,1.1747600,1.1768600,1.1722000,1.1745600,25466000
EURUSD000TOM,D,20201002,000000,1.1736400,1.1740800,1.1700000,1.1714000,21728000
EURUSD000TOM,D,20201005,000000,1.1723800,1.1794000,1.1721400,1.1785600,12547000
EURUSD000TOM,D,20201006,000000,1.1782100,1.1805600,1.1731800,1.1731800,16469000
EURUSD000TOM,D,20201007,000000,1.1752400,1.1780000,1.1750000,1.1764000,13808000
EURUSD000TOM,D,20201008,000000,1.1773600,1.1773600,1.1735000,1.1758200,13411000
EURUSD000TOM,D,20201009,000000,1.1776900,1.1829400,1.1770500,1.1827500,48225000
EURUSD000TOM,D,20201012,000000,1.1820400,1.1822200,1.1790000,1.1812000,25338000
EURUSD000TOM,D,20201013,000000,1.1786600,1.1798800,1.1731500,1.1742800,19966000
EURUSD000TOM,D,20201014,000000,1.1737000,1.1770000,1.1721000,1.1745000,23595000
EURUSD000TOM,D,20201015,000000,1.1736600,1.1742000,1.1690000,1.1708200,15735000
EURUSD000TOM,D,20201016,000000,1.1702200,1.1744000,1.1702200,1.1715000,26079000
EURUSD000TOM,D,20201019,000000,1.1712400,1.1791200,1.1709000,1.1770800,20141000
EURUSD000TOM,D,20201020,000000,1.1769600,1.1839800,1.1762800,1.1826500,24645000
EURUSD000TOM,D,20201021,000000,1.1853600,1.1879900,1.1843600,1.1858000,58329000
EURUSD000TOM,D,20201022,000000,1.1848800,1.1865600,1.1811500,1.1819400,35186000
EURUSD000TOM,D,20201023,000000,1.1800800,1.1862500,1.1798200,1.1859000,54136000
EURUSD000TOM,D,20201026,000000,1.1830400,1.1847200,1.1804000,1.1807400,30916000
EURUSD000TOM,D,20201027,000000,1.1825800,1.1836800,1.1797400,1.1806000,20860000
EURUSD000TOM,D,20201028,000000,1.1769400,1.1778000,1.1718200,1.1750600,30989000
EURUSD000TOM,D,20201029,000000,1.1750000,1.1754200,1.1650000,1.1673400,44034000
EURUSD000TOM,D,20201030,000000,1.1676800,1.1704000,1.1642600,1.1644500,24997000
EURUSD000TOM,D,20201102,000000,1.1643200,1.1655000,1.1622800,1.1634400,23753000
EURUSD000TOM,D,20201103,000000,1.1660900,1.1738000,1.1659600,1.1703500,19990000
EURUSD000TOM,D,20201105,000000,1.1736600,1.1859000,1.1727500,1.1822000,42442000
EURUSD000TOM,D,20201106,000000,1.1827600,1.1890000,1.1827600,1.1882000,28498000
EURUSD000TOM,D,20201109,000000,1.1891400,1.1919200,1.1797000,1.1824800,63610000
EURUSD000TOM,D,20201110,000000,1.1831900,1.1841000,1.1779600,1.1810500,99084000
EURUSD000TOM,D,20201111,000000,1.1825000,1.1828000,1.1746800,1.1771200,29303000
EURUSD000TOM,D,20201112,000000,1.1764600,1.1820000,1.1764600,1.1805000,32052000
EURUSD000TOM,D,20201113,000000,1.1805100,1.1835200,1.1801400,1.1832400,23326000
EURUSD000TOM,D,20201116,000000,1.1849000,1.1868400,1.1815000,1.1845600,24498000
EURUSD000TOM,D,20201117,000000,1.1856600,1.1892800,1.1841600,1.1863200,61904000
EURUSD000TOM,D,20201118,000000,1.1876400,1.1890200,1.1853600,1.1857200,29945000
EURUSD000TOM,D,20201119,000000,1.1849000,1.1879000,1.1816400,1.1876500,18616000
EURUSD000TOM,D,20201120,000000,1.1882600,1.1883800,1.1851000,1.1859600,152698000
EURUSD000TOM,D,20201123,000000,1.1876200,1.1905000,1.1803000,1.1845000,294656000
EURUSD000TOM,D,20201124,000000,1.1854400,1.1893000,1.1841800,1.1885200,33338000
EURUSD000TOM,D,20201125,000000,1.1896100,1.1930000,1.1800000,1.1921100,38651000
EURUSD000TOM,D,20201126,000000,1.1933600,1.1939900,1.1888000,1.1911000,32438000
EURUSD000TOM,D,20201127,000000,1.1924800,1.1962000,1.1914600,1.1960200,25029000
EURUSD000TOM,D,20201130,000000,1.1962400,1.2002000,1.1932200,1.1935400,37482000
EURUSD000TOM,D,20201201,000000,1.1958900,1.2061000,1.1956000,1.2061000,48390000
EURUSD000TOM,D,20201202,000000,1.2068000,1.2330000,1.2041800,1.2102000,36124000
EURUSD000TOM,D,20201203,000000,1.2118900,1.2174000,1.2101000,1.2133400,38256000
EURUSD000TOM,D,20201204,000000,1.2155200,1.2176200,1.2120000,1.2120000,37541000
EURUSD000TOM,D,20201207,000000,1.2126000,1.2161000,1.2035100,1.2112200,46681000
EURUSD000TOM,D,20201208,000000,1.2112800,1.2132000,1.2097000,1.2106000,50093000
EURUSD000TOM,D,20201209,000000,1.2136600,1.2140000,1.2060000,1.2081600,72559000
EURUSD000TOM,D,20201210,000000,1.2086000,1.2157000,1.2081200,1.2141000,63995000
EURUSD000TOM,D,20201211,000000,1.2156000,1.2158400,1.2107200,1.2114300,24153000
EURUSD000TOM,D,20201214,000000,1.2140000,1.2174400,1.2124000,1.2142000,32167000
EURUSD000TOM,D,20201215,000000,1.2149200,1.2165800,1.2121000,1.2160000,18659000
EURUSD000TOM,D,20201216,000000,1.2162600,1.2211200,1.2125300,1.2194800,27113000
EURUSD000TOM,D,20201217,000000,1.2228600,1.2271000,1.2225000,1.2261500,33539000
EURUSD000TOM,D,20201218,000000,1.2251600,1.2268000,1.2227000,1.2243400,36981000
EURUSD000TOM,D,20201221,000000,1.2196800,1.2252800,1.2130000,1.2238000,71460000
EURUSD000TOM,D,20201222,000000,1.2217200,1.2255600,1.2152000,1.2153800,45049000
