<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,20210702,000000,73.4906000,73.7930000,73.0580000,73.0580000,1035561
USDRUB,D,20210704,000000,73.3489000,73.3489000,73.0070000,73.1801000,469
USDRUB,D,20210705,000000,73.1803000,73.5952000,73.1360000,73.4638000,611180
USDRUB,D,20210706,000000,73.4642000,74.8039300,73.1075000,74.4903000,1066400
USDRUB,D,20210707,000000,74.4814000,74.9219000,73.8911000,74.6501000,1133731
USDRUB,D,20210708,000000,74.6497000,75.3500000,74.4610000,74.7117000,1462144
USDRUB,D,20210709,000000,74.5870000,74.8232000,74.1198000,74.3494000,1262514
USDRUB,D,20210711,000000,74.5050000,74.5050000,74.0390000,74.1430000,1690
USDRUB,D,20210712,000000,74.2472000,74.7980000,74.1310000,74.2990000,412285
USDRUB,D,20210713,000000,74.3719000,74.6127000,73.8408000,74.3545000,478638
USDRUB,D,20210714,000000,74.3715000,74.5530000,73.8861000,74.1405000,461747
USDRUB,D,20210715,000000,74.1435000,74.4430000,74.0118000,74.3200000,415251
USDRUB,D,20210716,000000,74.3200000,74.4431000,73.8997000,74.0050000,401723
USDRUB,D,20210718,000000,74.2450000,74.4050000,73.9360000,73.9821000,2317
USDRUB,D,20210719,000000,73.9807000,74.8157000,73.9481000,74.6766000,1267151
USDRUB,D,20210720,000000,74.6784000,74.7507000,74.2179000,74.3494000,1258796
USDRUB,D,20210721,000000,74.3488000,74.5668000,73.7330000,73.9718000,1244616
USDRUB,D,20210722,000000,73.9669000,74.0221000,73.5438000,73.6396000,1172879
USDRUB,D,20210723,000000,73.6413000,73.9170000,73.4522000,73.8102000,1098310
USDRUB,D,20210725,000000,73.8041000,73.8041000,73.3800000,73.5670000,1123
USDRUB,D,20210726,000000,73.6741000,74.2715000,73.3980000,73.7195000,418584
USDRUB,D,20210727,000000,73.7204000,73.9423000,73.4990000,73.6675000,465808
USDRUB,D,20210728,000000,73.6700000,73.9450000,73.3060000,73.4321000,1023224
USDRUB,D,20210729,000000,73.4333000,73.5380000,72.9150000,73.2157000,840730
USDRUB,D,20210730,000000,73.2170000,73.4353000,72.6710000,73.0932000,1006809
USDRUB,D,20210801,000000,73.1304000,73.8039000,72.9470000,73.0540000,2414
USDRUB,D,20210802,000000,73.1074000,73.3285000,72.6335000,72.9771000,387345
